Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
1,هيروشيما,أحمد فكرون,"الحب كلمة للحبيب تنقال
فيه ناس ما يعرفوش مازال
تفكر و تصنع ف الدمار و النار
تقول ما شافوا عيون ااطفال
لا من هيروشيما تعلموها الحكمة
ولا من الحروب راف بيهم حال
لكن الخالق يقول مهما يطغى الانسان
رحلة و تنتهي بزوال",وجب التأكد من اكتمال الكلمات,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/fZ7aq
2,الشمس تجي و تعدي,أحمد فكرون,"الشمس تجي و تعدي - و الايام تفوت ما تهدي
وانا و انت زي الريح - ودك ما رافق ودي
مرة الهوى ياخدنا - للفرح معاه يسعدنا
و مره نتاخصم و احنا - عارفين الخصام يبعدنا
و الحيرة تلعب بينا - تعبانة خطاوينا
انا و انت مش عارفين - وين جينا وين ماشيين
لا فرحنا مع بعضنا -  و لا قدرنا على الحنين
و الحيرة تلعب بينا - تعبانة خطاوينا",مكتوبة كاملة,فرج المذبل,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/vwGnk
3,الصحراء,أحمد فكرون,"الصحراء فيها عاشق و حبيب و ترحال
الصحراء فيها بعاد وخطاوي و رمال
دقات الطبول تنادي من بعيد
ودروب الوصول تخاطر من جديد
مناظر تردت لصمت الجبال
ومركب الشمس في نهج الخيال
يا سمراء تبان من تحت اللثام
يا كنوز و جوارح و النظرة كلام
محلاها الغناوي اصوات و ابتسام",مكتوبة كاملة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/yhgzo
4,القلب عاشق,أحمد فكرون,"القلب عاشق وارتمي في جورك
نقطة عشق ذابت فوسع بحورك
ارحم دموعي العشق شوقه قاسي
والنور يطفي وقت يغمر نورك
تنادي عليا نسمعك ونجيب وتقسي
على روحي الدموع تسيب فرج
عذاب الضيق وأنت رحيب همس الأمل
فالقلب جابد شورك العشق
واعر وأنت بيه عليم وراضي
عذاب الروح فيك تهيم طالب ألرحمه
وفاصلاة دمعاتي ترسم طريقي
نين يوم نزورك والقلب عاشق شالني
وراني نغلب ضعف نفسي بنور إيماني
وتبدي طريقي فالطريق طريقك
ونزرع حياتي في سهول زهورك .",مكتوبة كاملة,نبيل الجهمي,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/4v5Db
5,هارب من الليالي,أحمد فكرون,"اه يا هارب في الليالي - من الليالي في الضباب
حزن قلبك في قلبك - من عذابك في العذاب",الكلمات غير مكتملة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/mbD8x
6,اوعدني ,أحمد فكرون,اوعدني وما تسبنيش,مطلع الأغنية/رأس البيت فقط,رجب شرشر,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/99CxU
7,سوف الجين,أحمد فكرون,"تعال خبر ياسوف الجين - ع القديمين - عرب كانت تعرفها وين
تعال خبر واحكي بالحق - على ريته قبل وزال
اليوم خالي مافيك رشق - طرى لك ماطاري لتلاك
الناس اللي بيهم شارق - اللي كانوا عزوه للمال
تقاصوا عنك خشوا رق - سرابه ع العالي هيال (الرق : اي المنطقة الصحراوية)
ان ما جوني لازم نلحق - بزادي وزوادي وجمال
ونقطع غيم يبان ازرق - بلا تظنين - بزادي ورجالي وعوين
تعال خبر ماريت عرب - ولا ريت نجوع كثيرات
ولا ريت عساكر تلعب - لهن سنزق فيه علامات (سنزق: سنجق أو راية بالتركي)
يفزن كان البوق ضرب - لجيه فيسع ملزومات
جنود يكيدن من يحسب - عددهن سربه بالميات
وحاكم يصلب كان غضب - أمير على ست آلايات (آلايات: ألوية)
يونس وين يجي راكب ... ينوض منه مقبوضات
يتم عليهن يصلب - نداوى بادي في حوزات (نداوى: نوع من الصقور - حوزات: أسراب من الحبارى)
نهار اللي يداري ع السب - تحجي دون الحوماوات
ضرب جا طايح يشقلب - وتم ينين - تعرم بين العراكين
تعال خبر ياسوف الجين - تعال خبر ياسوف الجين
تعال خبر ماريت قديم - ولا ريت نواجع حكام
ولا ريتش مال جراثيم - شون ياسر كادن لزدام  (جراثيم لا تعني المعنى السائد حاليًا بل تعني كثيرة)
ولا ريتش خيل ملاضيم - أدب ناس ملايا بالنام
يفرن لا صار التنغيم - منين طق الميصور وزام (المبصور: الطبل)
يجن غير تقول براريم - منين ثوب البيضا يدغام
منين فيهن صار التعريم - وطاح الزين - فني من هذين وهذين",مكتوبة كاملة,بن رويلة المعداني,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/HqXxv
8,حلوة الصورة لك يا انسان ,أحمد فكرون,"حلوة الصورة لك يا انسان - اللون اسمر والجبين عرقان
ترسم خطوطك فوق صدر الأرض – وتفرح بعدما عيدان خضر تبان
وتغني بهنا للحب مواويل – ترد السنابل عالغناء وتميل
وتمسح عرق جهدك بكل حنان
وحلوة الصورة لك يا إنسان
اللون أسمر والجبين عرقان",وجب التأكد من اكتمال الكلمات,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/oJmzn
9,عمر المختار - يا مختار,أحمد فكرون,"رافع الجبهة وفي الجبهة الزمان في أيدك كتاب الله
وفي الأخرى الوطن عنوان لا مجد طامع فيه لا ثروة
لا سلطان وطامع في نعيم الله وفي الجنة مكان أمان
يا مختار يا سيدي عمر يا شيخ يا إنسان في التاريخ
ناقش بالدماء اسمك وبالا يمان لقيت وجه الله
شهيد الحب والأوطان يا مختار يا سيدي عمر
يا شيخ يا إنسان في الوجدان",وجب التأكد من اكتمال الكلمات,نبيل الجهمي ,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/eN26f
10,سلف مردود,أحمد فكرون,"سلف مردود سلف كيف الصاغ المنقود سلف مردود
سلف فيه اقصاد ومقصود سلف جاني من غنايين
سلف لاقيته دون الرود عرب بالشينه مغنومين
فلان فلان النود النود عرموم حساد عنيدين
لهم من ميلود لميلود عرب يا ناري منقرضين
مغير جواجي تحت جرود أجعنهم فحمة كوم عوين
أجعن باب غناهم مسدود أجعنهم قدام الحيين
قليليين الزرع وهبود كما اللي حرك لغم المين
وم الساعة تك البارود كبايا ردوا مكسورين
كما طايح عظمه مقنود تدقديق قران موزين
جفل حاشيهن يوم ورود كما اللي عند الموالين
ورد بالنقضه يوم عمود أربع مايدور الصفارين
شهر في اللي قبل الميلود علي بو فلاقه مسكين
نطق لا ناشد لا منشود بحث بحثة تيس لسكين
اللي فيه الجزار يقود خصوصاً لي كان قرين
مغير رقادة ريح وهود المسلم لا طق الستين يتوب
وكان بخيل يجود وهو وين اشرف ع السبعين قدع
رد مع الجهل ردود لنوار الشيب تسودين تقول
يغري في كرمود ويركب في اشنابه تدهين
ويطلاهن نغج وبارود ومحرمته فيها هذين
دبش واتي ديما مجبود ثلاث مكاحل ومراتين
ومرود عاج ومرود عود يغوص في كل كوازين
يجي قايد ويجي مقيود وينشد ع الهجاله وين
اللي متبع واللي جلمود لبكره مسع دار خزين
كمل عمره تسويف كنود يصبي بين الصفاقين
وزايد ع الصف بعلود يقول لبو دور عراجين جضاري
جالن ع المقصود خذا مني ها الجرانين عطاء الله
بغير حسود غبا يقعد قرنين سنين وهو مرفود
كما منهل جا تحت غرود ",مكتوبة كاملة,حسن الفاخري ,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/JTeUv
