Entry ID,Entry Number,Entry Name,Entry Type,Entry Rhythm,Entry Lyrics,Note Image Name,Type Entry Image
MLF-1-ISB-BRW,1,العاشقين انتبهوا للسّاقي,الإصبعين,برول,"العاشقين إنتبهوا للسّاقي طاب الشّراب مع العشّاق
طاب الشراب لأهل الحضره وسكروا :: وعيونهم للساقي ينتظروا
يالعاشقين الله محلى ذكروا :: هو الذي زادت بيه أشواقي
العاشقين إنتبهو للساقي طاب الشراب مع العشاق
يامصطفى أنت البدر العالي :: أنت الذي نسهر فيك الليالي
لا تسألوا عنّي ولا عن حالي :: هو النبي طابت بيه أخلاقي
العاشقين إنتبهوا للساقي طاب الشراب مع العشاق",MLF-1-ISB-BRW.png,ISB.PNG
MLF-2-ISB-BRW,2,انا عشقت مليح,الإصبعين,برول,"أنا عشقت مليح :: ونسله عربي
الحال يمسى بخير :: وأصبر يا قلبي",MLF-2-ISB-BRW.png,ISB.PNG
MLF-3-ISB-BRW,3,آنا والله العظيم,الإصبعين,برول,"أنا والله العظيم :: حينما نراك نهيم
أملا كأسي يانديم",MLF-3-ISB-BRW.png,ISB.PNG
MLF-4-ISB-BRW,4,انسى همومك,الإصبعين,برول,"أنسى همومك في دي العشية :: ماتدري متى يأتيك الصباح
راح النهار دير الحميّة :: أفني همومك مع الملاح
قم نغنموا ساعة هنيّة :: الدنيا ماهي إلا مزاح
ياساقي فيّض لنا المزيد وأسقينا عن غفلة الرّقيب
ونغنموا نزهة الرّياض الشّمس مالت نحو المغيب
الشّمس مالت نحو الصّفورة :: وذهّبت أوراق الغصون
أنظر إلى الرّوض في خضورة :: وريحه منية النّفوس
الورد فتّح في حسن صورة :: وروايحه غدّت النّفوس
ياساقي فيّض لنا المزيد وأسقينا عن غفلة الرّقيب
ونغنموا نزهة الرّياض الشّمس مالت نحو المغيب",MLF-4-ISB-BRW.png,ISB.PNG
MLF-5-ISB-BRW,5,الهوى قد استوى,الإصبعين,برول,"الهوى قد استوى :: والنّاس مايعذرون 
أنا ودّي جهار :: طيري علاش تقتلونه
أنا طيري صغير :: أغنج مكحل عيونه
أنا صرت له دوا :: إلا لمن كان يصونه",MLF-5-ISB-BRW.png,ISB.PNG
MLF-6-ISB-BRW,6,دخيل الله,الإصبعين,برول,"دخيل الله أنظر ماتصنع العشّاق
واحد في تقليد والآخر مسكين يعشق
وكلّ من يراني يقول عنّي أحمق
ضحكنا لعبنا شربنا طربنا :: قم نجدّد الحضرة عشيّه من بكره
ياحبيبي فرّجني هذا هو زمن الفرجه
الخلاعة تعجبني مابين طنجه وفرنجه
والذي يعتب عنّي ليش تقبل له حجّة
ضحكنا لعبنا شربنا طربنا :: قم نجدّد الحضرة عشيّة من بكره",MLF-6-ISB-BRW.png,ISB.PNG
MLF-7-ISB-BRW,7,ربّي يا مجيب,الإصبعين,برول,"ربّي يا مجيب
تسمح لي بتوبة
تكون عن قريب",MLF-7-ISB-BRW.png,ISB.PNG
MLF-8-ISB-BRW,8,روح ياعزولي,الإصبعين,برول,"روح ياعزولي مالك ومالي :: لوصبت وجدًا ما أفوت غزالي
ياشمس غيبي وافي حبيبي :: هو رضا العين وصله نصيبي
مركب حبيبي من الغرب جايّه :: كشمير حجابو طيّه عن طيّه
ذا المغربي تونس بلاده :: صاغ الأساور مثل اللآلي 
جاني سلامو من مصر للشام :: محلى كلامو يافرحة زماني",MLF-8-ISB-BRW.png,ISB.PNG
MLF-9-ISB-BRW,9,زارني باهي المحيا,الإصبعين,برول,"زارني باهي المحيّا ::  يتهادى بالجمال ::  بهجة الأنظار
وجلا كاس الحميّا  ::  ورنا يحكي الغزال  :: وعلينا جار
جلّ المولى قد يراه ::  فاتنًا صبًا يراه ::  باهر الانوار
قلت طف بالكاس هيّا  :: وتكرّم بالوصال ::  يا أخا الأقمار",MLF-9-ISB-BRW.png,ISB.PNG
MLF-10-ISB-BRW,10,سلّم على ذاك الحبيب,الإصبعين,برول,"سلّم على ذاك الحبيب :: اللي بدا منه الجفا
وقل له ناري لهيب :: في جاشي مابت تنطفا
إذا غواك عني الرّقيب ::  أصبرو لله الكفا
نحرج ولا ينفع حرج وأتهبّني نيراني ::  لابّد من ساعة فرج نراك يا سلطاني
يا هل ترى هل يرجعوا ::  أحباب قلبي جيرتي
حبل الوصال لاتقطعوا ::  ياأهلي ماحيلتي
فراقكم يامصعبوا ::  الله يصبّر لوعتي
نحرج ولا ينفع حرج وأتهبّني نيراني لابّد من ساعة فرج نراك يا سلطاني",MLF-10-ISB-BRW.png,ISB.PNG
